27.929787, -80.713527, altitude (ft): 14, sats: 12, UTC 20:27:53
27.929788, -80.713527, altitude (ft): 14, sats: 12, UTC 20:27:54
27.929790, -80.713527, altitude (ft): 14, sats: 12, UTC 20:27:55
27.929788, -80.713528, altitude (ft): 14, sats: 12, UTC 20:27:56
27.929782, -80.713532, altitude (ft): 14, sats: 12, UTC 20:27:57
27.929782, -80.713532, altitude (ft): 14, sats: 12, UTC 20:27:58
27.929785, -80.713527, altitude (ft): 14, sats: 12, UTC 20:27:59
27.929787, -80.713523, altitude (ft): 14, sats: 12, UTC 20:28:00
27.929787, -80.713525, altitude (ft): 14, sats: 12, UTC 20:28:10
27.929783, -80.713528, altitude (ft): 14, sats: 12, UTC 20:28:20
27.929780, -80.713527, altitude (ft): 14, sats: 12, UTC 20:28:30
27.929780, -80.713525, altitude (ft): 14, sats: 12, UTC 20:28:40
27.929782, -80.713528, altitude (ft): 14, sats: 12, UTC 20:28:50
27.929783, -80.713533, altitude (ft): 14, sats: 12, UTC 20:28:60
27.929785, -80.713530, altitude (ft): 14, sats: 12, UTC 20:28:70
27.929782, -80.713525, altitude (ft): 13, sats: 12, UTC 20:28:80
27.929782, -80.713527, altitude (ft): 13, sats: 12, UTC 20:28:90
27.929782, -80.713532, altitude (ft): 14, sats: 12, UTC 20:28:10
27.929775, -80.713535, altitude (ft): 14, sats: 12, UTC 20:28:11
27.929778, -80.713528, altitude (ft): 14, sats: 12, UTC 20:28:12
27.929783, -80.713520, altitude (ft): 13, sats: 12, UTC 20:28:13
27.929780, -80.713527, altitude (ft): 13, sats: 12, UTC 20:28:14
27.929777, -80.713537, altitude (ft): 12, sats: 12, UTC 20:28:15
27.929780, -80.713530, altitude (ft): 12, sats: 12, UTC 20:28:16
27.929782, -80.713528, altitude (ft): 12, sats: 12, UTC 20:28:17
27.929782, -80.713535, altitude (ft): 12, sats: 12, UTC 20:28:18
27.929787, -80.713533, altitude (ft): 12, sats: 12, UTC 20:28:19
27.929787, -80.713525, altitude (ft): 12, sats: 12, UTC 20:28:20
27.929787, -80.713527, altitude (ft): 12, sats: 12, UTC 20:28:21
27.929787, -80.713532, altitude (ft): 13, sats: 12, UTC 20:28:22
27.929783, -80.713523, altitude (ft): 12, sats: 12, UTC 20:28:23
27.929782, -80.713522, altitude (ft): 12, sats: 12, UTC 20:28:24
27.929782, -80.713528, altitude (ft): 12, sats: 12, UTC 20:28:25
27.929782, -80.713530, altitude (ft): 12, sats: 12, UTC 20:28:26
27.929785, -80.713525, altitude (ft): 12, sats: 12, UTC 20:28:27
27.929783, -80.713527, altitude (ft): 13, sats: 12, UTC 20:28:28
27.929782, -80.713530, altitude (ft): 13, sats: 12, UTC 20:28:29
27.929780, -80.713528, altitude (ft): 13, sats: 12, UTC 20:28:30
27.929782, -80.713525, altitude (ft): 13, sats: 12, UTC 20:28:31
27.929783, -80.713527, altitude (ft): 13, sats: 12, UTC 20:28:32
27.929782, -80.713532, altitude (ft): 13, sats: 12, UTC 20:28:33
27.929778, -80.713535, altitude (ft): 14, sats: 12, UTC 20:28:34
27.929778, -80.713533, altitude (ft): 14, sats: 12, UTC 20:28:35
27.929780, -80.713528, altitude (ft): 14, sats: 12, UTC 20:28:36
27.929782, -80.713523, altitude (ft): 14, sats: 12, UTC 20:28:37
27.929783, -80.713530, altitude (ft): 15, sats: 12, UTC 20:28:38
27.929783, -80.713537, altitude (ft): 15, sats: 12, UTC 20:28:39
27.929782, -80.713535, altitude (ft): 15, sats: 12, UTC 20:28:40
27.929783, -80.713527, altitude (ft): 15, sats: 12, UTC 20:28:41
27.929783, -80.713525, altitude (ft): 15, sats: 12, UTC 20:28:42
27.929782, -80.713530, altitude (ft): 15, sats: 12, UTC 20:28:43
27.929782, -80.713530, altitude (ft): 15, sats: 12, UTC 20:28:44
27.929780, -80.713530, altitude (ft): 15, sats: 12, UTC 20:28:45
27.929778, -80.713528, altitude (ft): 15, sats: 12, UTC 20:28:46
27.929780, -80.713527, altitude (ft): 15, sats: 12, UTC 20:28:47
27.929780, -80.713530, altitude (ft): 15, sats: 12, UTC 20:28:48
27.929782, -80.713530, altitude (ft): 15, sats: 12, UTC 20:28:49
27.929783, -80.713523, altitude (ft): 14, sats: 12, UTC 20:28:50
27.929785, -80.713525, altitude (ft): 14, sats: 12, UTC 20:28:51
27.929787, -80.713532, altitude (ft): 14, sats: 12, UTC 20:28:52
27.929785, -80.713540, altitude (ft): 14, sats: 12, UTC 20:28:53
27.929782, -80.713537, altitude (ft): 14, sats: 12, UTC 20:28:54
27.929782, -80.713530, altitude (ft): 14, sats: 12, UTC 20:28:55
27.929782, -80.713532, altitude (ft): 14, sats: 12, UTC 20:28:56
27.929785, -80.713538, altitude (ft): 14, sats: 12, UTC 20:28:57
27.929787, -80.713538, altitude (ft): 14, sats: 12, UTC 20:28:58
27.929785, -80.713532, altitude (ft): 14, sats: 12, UTC 20:28:59
27.929783, -80.713532, altitude (ft): 14, sats: 12, UTC 20:29:00
27.929785, -80.713538, altitude (ft): 14, sats: 12, UTC 20:29:10
27.929788, -80.713542, altitude (ft): 14, sats: 12, UTC 20:29:20
27.929792, -80.713535, altitude (ft): 14, sats: 12, UTC 20:29:30
27.929792, -80.713530, altitude (ft): 14, sats: 12, UTC 20:29:40
27.929788, -80.713532, altitude (ft): 14, sats: 12, UTC 20:29:50
27.929788, -80.713538, altitude (ft): 14, sats: 12, UTC 20:29:60
27.929788, -80.713538, altitude (ft): 14, sats: 12, UTC 20:29:70
27.929788, -80.713533, altitude (ft): 14, sats: 12, UTC 20:29:80
27.929788, -80.713532, altitude (ft): 14, sats: 12, UTC 20:29:90
27.929788, -80.713535, altitude (ft): 14, sats: 12, UTC 20:29:10
27.929788, -80.713538, altitude (ft): 13, sats: 12, UTC 20:29:11
27.929788, -80.713535, altitude (ft): 14, sats: 12, UTC 20:29:12
27.929788, -80.713535, altitude (ft): 14, sats: 12, UTC 20:29:13
27.929790, -80.713537, altitude (ft): 13, sats: 12, UTC 20:29:14
27.929792, -80.713538, altitude (ft): 13, sats: 12, UTC 20:29:15
27.929790, -80.713533, altitude (ft): 13, sats: 12, UTC 20:29:16
27.929788, -80.713533, altitude (ft): 13, sats: 12, UTC 20:29:17
27.929785, -80.713533, altitude (ft): 14, sats: 12, UTC 20:29:18
27.929785, -80.713532, altitude (ft): 13, sats: 12, UTC 20:29:19
27.929787, -80.713530, altitude (ft): 13, sats: 12, UTC 20:29:20
27.929787, -80.713533, altitude (ft): 13, sats: 12, UTC 20:29:21
27.929785, -80.713533, altitude (ft): 13, sats: 12, UTC 20:29:22
27.929782, -80.713532, altitude (ft): 13, sats: 12, UTC 20:29:23
27.929778, -80.713532, altitude (ft): 13, sats: 12, UTC 20:29:24
27.929778, -80.713533, altitude (ft): 13, sats: 12, UTC 20:29:25
27.929782, -80.713532, altitude (ft): 13, sats: 12, UTC 20:29:26
27.929780, -80.713532, altitude (ft): 12, sats: 12, UTC 20:29:27
27.929777, -80.713533, altitude (ft): 12, sats: 12, UTC 20:29:28
27.929775, -80.713528, altitude (ft): 12, sats: 12, UTC 20:29:29
27.929777, -80.713528, altitude (ft): 12, sats: 12, UTC 20:29:30
27.929775, -80.713532, altitude (ft): 12, sats: 12, UTC 20:29:31
27.929773, -80.713533, altitude (ft): 12, sats: 12, UTC 20:29:32
27.929777, -80.713528, altitude (ft): 12, sats: 12, UTC 20:29:33
27.929777, -80.713528, altitude (ft): 12, sats: 12, UTC 20:29:34
27.929777, -80.713532, altitude (ft): 12, sats: 12, UTC 20:29:35
27.929778, -80.713528, altitude (ft): 12, sats: 12, UTC 20:29:36
27.929780, -80.713527, altitude (ft): 12, sats: 12, UTC 20:29:37
27.929780, -80.713530, altitude (ft): 12, sats: 12, UTC 20:29:38
27.929782, -80.713528, altitude (ft): 12, sats: 12, UTC 20:29:39
27.929782, -80.713527, altitude (ft): 12, sats: 12, UTC 20:29:40
27.929782, -80.713530, altitude (ft): 12, sats: 12, UTC 20:29:41
27.929783, -80.713530, altitude (ft): 12, sats: 12, UTC 20:29:42
27.929787, -80.713527, altitude (ft): 12, sats: 12, UTC 20:29:43
27.929787, -80.713528, altitude (ft): 12, sats: 12, UTC 20:29:44
27.929782, -80.713528, altitude (ft): 12, sats: 12, UTC 20:29:45
27.929780, -80.713525, altitude (ft): 12, sats: 12, UTC 20:29:46
27.929783, -80.713527, altitude (ft): 12, sats: 12, UTC 20:29:47
27.929783, -80.713530, altitude (ft): 12, sats: 12, UTC 20:29:48
27.929782, -80.713530, altitude (ft): 12, sats: 12, UTC 20:29:49
27.929783, -80.713528, altitude (ft): 13, sats: 12, UTC 20:29:50
27.929783, -80.713525, altitude (ft): 13, sats: 12, UTC 20:29:51
27.929785, -80.713527, altitude (ft): 13, sats: 12, UTC 20:29:52
27.929787, -80.713530, altitude (ft): 13, sats: 12, UTC 20:29:53
27.929788, -80.713528, altitude (ft): 13, sats: 12, UTC 20:29:54
27.929787, -80.713527, altitude (ft): 13, sats: 12, UTC 20:29:55
27.929787, -80.713525, altitude (ft): 13, sats: 12, UTC 20:29:56
27.929790, -80.713525, altitude (ft): 13, sats: 12, UTC 20:29:57
27.929790, -80.713527, altitude (ft): 13, sats: 12, UTC 20:29:58
27.929788, -80.713527, altitude (ft): 13, sats: 12, UTC 20:29:59
27.929790, -80.713527, altitude (ft): 13, sats: 12, UTC 20:30:00
27.929790, -80.713528, altitude (ft): 13, sats: 12, UTC 20:30:10
27.929792, -80.713527, altitude (ft): 13, sats: 12, UTC 20:30:20
27.929792, -80.713527, altitude (ft): 14, sats: 12, UTC 20:30:30
27.929793, -80.713525, altitude (ft): 14, sats: 12, UTC 20:30:40
27.929792, -80.713528, altitude (ft): 14, sats: 12, UTC 20:30:50
27.929793, -80.713528, altitude (ft): 13, sats: 12, UTC 20:30:60
27.929793, -80.713525, altitude (ft): 13, sats: 12, UTC 20:30:70
27.929793, -80.713525, altitude (ft): 13, sats: 12, UTC 20:30:80
27.929793, -80.713528, altitude (ft): 13, sats: 12, UTC 20:30:90
27.929793, -80.713527, altitude (ft): 12, sats: 12, UTC 20:30:10
27.929793, -80.713523, altitude (ft): 12, sats: 12, UTC 20:30:11
27.929792, -80.713525, altitude (ft): 12, sats: 12, UTC 20:30:12
27.929792, -80.713525, altitude (ft): 11, sats: 12, UTC 20:30:13
27.929793, -80.713525, altitude (ft): 11, sats: 12, UTC 20:30:14
27.929795, -80.713523, altitude (ft): 11, sats: 12, UTC 20:30:15
27.929793, -80.713525, altitude (ft): 11, sats: 12, UTC 20:30:16
27.929793, -80.713525, altitude (ft): 11, sats: 12, UTC 20:30:17
27.929792, -80.713525, altitude (ft): 11, sats: 12, UTC 20:30:18
27.929793, -80.713525, altitude (ft): 11, sats: 12, UTC 20:30:19
27.929793, -80.713527, altitude (ft): 11, sats: 12, UTC 20:30:20
27.929792, -80.713525, altitude (ft): 11, sats: 12, UTC 20:30:21
27.929792, -80.713527, altitude (ft): 12, sats: 12, UTC 20:30:22
27.929792, -80.713530, altitude (ft): 12, sats: 12, UTC 20:30:23
27.929792, -80.713530, altitude (ft): 12, sats: 12, UTC 20:30:24
27.929793, -80.713525, altitude (ft): 12, sats: 12, UTC 20:30:25
27.929793, -80.713525, altitude (ft): 12, sats: 12, UTC 20:30:26
27.929792, -80.713530, altitude (ft): 12, sats: 12, UTC 20:30:27
27.929790, -80.713528, altitude (ft): 12, sats: 12, UTC 20:30:28
27.929792, -80.713527, altitude (ft): 12, sats: 12, UTC 20:30:29
27.929792, -80.713530, altitude (ft): 12, sats: 12, UTC 20:30:30
27.929790, -80.713533, altitude (ft): 12, sats: 12, UTC 20:30:31
27.929792, -80.713530, altitude (ft): 11, sats: 12, UTC 20:30:32
27.929790, -80.713528, altitude (ft): 11, sats: 12, UTC 20:30:33
27.929790, -80.713530, altitude (ft): 11, sats: 12, UTC 20:30:34
27.929792, -80.713532, altitude (ft): 12, sats: 12, UTC 20:30:35
27.929793, -80.713530, altitude (ft): 11, sats: 12, UTC 20:30:36
27.929795, -80.713528, altitude (ft): 11, sats: 12, UTC 20:30:37
27.929795, -80.713528, altitude (ft): 11, sats: 12, UTC 20:30:38
27.929795, -80.713528, altitude (ft): 11, sats: 12, UTC 20:30:39
27.929795, -80.713528, altitude (ft): 11, sats: 12, UTC 20:30:40
27.929795, -80.713527, altitude (ft): 11, sats: 12, UTC 20:30:41
27.929792, -80.713527, altitude (ft): 11, sats: 12, UTC 20:30:42
